Incident ID,Incident Date,State,City Or County,Address,Killed,Injured,Latitude,Longitude
2991600,09/08/2024,Texas,Dallas,4000 block of Cedarview Rd,0,4,32.7762719,-96.7968559
2990695,09/08/2024,Kentucky,Lexington,701 National Ave,1,5,38.0464066,-84.4970393
2990446,08/08/2024,Alabama,Birmingham,1600 block of Dennison Ave,2,2,33.5206824,-86.8024326
2989678,07/08/2024,New York,Bronx,E 190th St and Morris Ave,0,6,40.8466508,-73.8785937
2988723,06/08/2024,West Virginia,Hedgesville (Cherry Run),Householder Rd,0,4,Not Found,Not Found
2987351,05/08/2024,Missouri,Kansas City,Prospect Ave and E 70th St,1,5,39.100105,-94.5781416
2987657,05/08/2024,Washington,Seattle,Broadway and E Pike St,0,4,47.6038321,-122.330062
2988109,04/08/2024,Mississippi,Vicksburg,118 Abraham Dr,1,3,32.3528055,-90.8777342
2986409,04/08/2024,California,Oakland,Fruitvale Ave and MacArthur Blvd,0,5,37.8044557,-122.271356
2986309,04/08/2024,Illinois,Chicago,2100 block of S Canal St,1,3,41.8755616,-87.6244212
2986352,04/08/2024,Illinois,Chicago,5100 block of S Calumet Ave,0,5,41.8755616,-87.6244212
2986327,04/08/2024,Oklahoma,Tulsa,2605 MLK Jr Blvd,0,8,36.1563122,-95.9927516
2986864,04/08/2024,Tennessee,Memphis,5560 Shelby Oaks Dr,0,4,35.1460249,-90.0517638
2986196,03/08/2024,District of Columbia,Washington,22 M St NE,2,2,38.8950368,-77.0365427
2986051,03/08/2024,Wisconsin,Milwaukee,3853 N Richards St,0,5,43.0386475,-87.9090751
2984628,01/08/2024,Colorado,Aurora,1472 Ironton St,1,3,39.7405111,-104.830994
2983770,30/07/2024,Georgia,Fairburn,2275 GA-138,1,3,33.5670562,-84.5810418
2981150,28/07/2024,Wisconsin,Milwaukee,9200 block of W Silver Spring Dr,0,5,43.0386475,-87.9090751
2981386,28/07/2024,Florida,Pensacola,6405 Wagner Rd,2,5,30.421309,-87.2169149
2981004,28/07/2024,Illinois,Champaign,2000 block of Cynthia Dr,2,2,40.1164841,-88.2430932
2980988,28/07/2024,Indiana,South Bend,1300 block of Bissell St,0,4,41.6833813,-86.2500066
2981511,28/07/2024,Missouri,Saint Louis,3505 Gravois Ave,1,3,38.6280278,-90.1910154
2982349,28/07/2024,Washington,Auburn,2900 block of M St SE,0,4,47.3075369,-122.2301808
2981325,28/07/2024,California,Los Angeles,E 51st St and Avalon Blvd,0,4,34.0536909,-118.242766
2981128,28/07/2024,New York,Rochester,1 Maplewood Dr,2,5,43.157285,-77.615214
2980166,27/07/2024,Texas,Dallas,6008 S R L Thornton Fwy,1,4,32.7762719,-96.7968559
2980200,26/07/2024,Illinois,Kankakee,700 block of N Hobbie Ave,0,6,41.1253903,-87.848682
2978744,25/07/2024,Louisiana,Jeanerette,2519 Martin Luther King Dr,1,3,29.9110378,-91.6634484
2977073,23/07/2024,South Carolina,Burton,County Shed Rd and Jennings Rd,0,4,32.4239465,-80.74587874545455
2974973,22/07/2024,Wisconsin,Milwaukee,6901 W Vienna Ave,1,8,43.0386475,-87.9090751
2974593,21/07/2024,Mississippi,Indianola,200 Church Ave,1,15,33.4509513,-90.6550917
2974777,21/07/2024,Indiana,Anderson,2200 block of Arrow Ave,0,7,40.1053196,-85.6802541
2974135,21/07/2024,Pennsylvania,Philadelphia,2100 block of N Alden St,3,5,39.9527237,-75.1635262
2974697,21/07/2024,Mississippi,Jackson,2899 McDowell Rd Ext,2,4,32.2998686,-90.1830408
2973281,20/07/2024,California,Vista,Civic Center Dr,1,3,33.2021284,-117.2424787
2972255,18/07/2024,Alabama,West Blocton,1073 Greentree Dr,5,0,33.1181748,-87.1249954
2971655,18/07/2024,District of Columbia,Washington,22nd St and Alabama Ave SE,2,2,38.8950368,-77.0365427
2971382,18/07/2024,California,Los Angeles,Wilshire Blvd and S Alvarado St,0,4,34.0536909,-118.242766
2969835,15/07/2024,Minnesota,Minneapolis,16th Ave S and E Franklin Ave,1,5,44.9772995,-93.2654692
2969569,15/07/2024,Texas,Orange,200 block of Morrell Blvd,0,4,30.1228634,-93.9041169
2968565,14/07/2024,Indiana,Indianapolis,3340 Teakwood Dr,0,5,39.7683331,-86.1583502
2967936,14/07/2024,Illinois,Chicago,9500 block of S Merrill Ave,0,4,41.8755616,-87.6244212
2967889,13/07/2024,Alabama,Birmingham,3427 27th St N,4,10,33.5206824,-86.8024326
2967459,13/07/2024,Pennsylvania,Butler,625 Evans City Rd,1,3,40.86108,-79.895197
2968616,13/07/2024,Connecticut,New Haven,Ivy St and Shelton Ave,0,4,41.3082138,-72.9250518
2967464,12/07/2024,Kentucky,Louisville,900 block of Esquire Alley,0,5,38.2542376,-85.759407
2967371,12/07/2024,Kansas,Wichita,4800 block of S Gordon St,1,4,37.6922361,-97.3375448
2966300,12/07/2024,Illinois,Chicago,1300 block of S Lawndale Ave,0,5,41.8755616,-87.6244212
2965650,11/07/2024,Kansas,Wichita,2300 block of E Murdock St,0,4,37.6922361,-97.3375448
2965394,10/07/2024,California,Alameda,417 Kitty Hawk Rd,5,0,37.6090291,-121.899142
2965207,10/07/2024,Massachusetts,Boston,10 Greenwood St,0,5,42.3554334,-71.060511
2963309,08/07/2024,District of Columbia,Washington,1200 block of Potomac Ave SE,0,4,38.8950368,-77.0365427
2962488,08/07/2024,Massachusetts,New Bedford,Russell St and Acushnet Ave,0,6,41.6362152,-70.934205
2963285,08/07/2024,North Carolina,Charlotte,1523 Parker Dr,1,3,35.2272086,-80.8430827
2963980,08/07/2024,Florida,Fort Lauderdale,700 block of NW 10th Terrace,2,3,26.1223084,-80.1433786
2961716,07/07/2024,Michigan,Detroit,Reno St and Rossini Dr,2,19,42.3315509,-83.0466403
2963018,07/07/2024,North Carolina,Roper,12256 NC-32,1,3,35.8779766,-76.6151847
2962371,06/07/2024,Ohio,Akron,800 block of Morningview Ave,0,4,41.083064,-81.518485
2961005,06/07/2024,Wisconsin,Milwaukee,Doctor Martin Luther King Jr Dr and 6th St,0,4,43.0386475,-87.9090751
2960811,06/07/2024,Kentucky,Florence,2673 Ridgecrest Dr,4,3,38.9989499,-84.6266111
2967044,05/07/2024,Mississippi,Clarksdale,300 block of Madison Ave,1,3,34.2006479,-90.5702071
2960205,05/07/2024,New York,Poughkeepsie,380 Main St,0,4,41.7065539,-73.9283672
2960079,05/07/2024,Georgia,Albany,312 Thornton Dr,1,3,31.5782062,-84.1556809
2960126,05/07/2024,Michigan,Pontiac,300 block of S Jessie St,0,5,42.6389216,-83.2910468
2959241,05/07/2024,Illinois,Chicago,1300 block of W Hastings St,0,8,41.8755616,-87.6244212
2959290,05/07/2024,Illinois,Chicago,100 block of S Menard Ave,1,6,41.8755616,-87.6244212
2959377,05/07/2024,New York,Albany,Myrtle Ave and Quail St,0,6,42.6511674,-73.754968
2959329,05/07/2024,Florida,Tampa,10924 N Nebraska Ave,0,4,27.9477595,-82.458444
2958345,04/07/2024,Illinois,Chicago,7100 block of S Woodlawn Ave,3,2,41.8755616,-87.6244212
2960159,04/07/2024,Tennessee,Nashville,200 1st Ave S,0,4,36.1622767,-86.7742984
2960026,04/07/2024,Texas,Fort Worth,3700 block of Castleman St,2,2,32.753177,-97.3327459
2959184,04/07/2024,Pennsylvania,Philadelphia,1900 block of Salford St,1,8,39.9527237,-75.1635262
2960055,04/07/2024,Texas,Fort Worth,7524 W Cleburne Rd,3,2,32.753177,-97.3327459
2959928,04/07/2024,Missouri,Saint Louis (Spanish Lake),1200 block of Lakeview Dr,1,5,38.802213800000004,-90.18885940134126
2959943,04/07/2024,Missouri,Saint Louis,8th St and Pine St,0,7,38.6280278,-90.1910154
2959734,04/07/2024,Mississippi,Ocean Springs,Cumberland Rd,0,16,30.4112904,-88.8279165
2955181,01/07/2024,Missouri,Charleston,700 South St,0,5,36.9233026,-89.3501172
2956748,01/07/2024,Pennsylvania,Philadelphia,2700 Dickinson St,1,3,39.9527237,-75.1635262
2954458,29/06/2024,Georgia,Sylvania,Lawton Place Dr,0,6,32.7504441,-81.636776
2952812,28/06/2024,New York,Niagara Falls,11th St and La Salle Ave,0,4,43.08436,-79.0614686
2952577,28/06/2024,Texas,Corpus Christi,2600 block of Buford St,2,3,27.7635302,-97.4033191
2953462,28/06/2024,Nebraska,Crete,1200 block of Crestline Dr,0,7,40.628143,-96.961372
2951432,26/06/2024,California,Lancaster,800 block of E Ave J-12,2,5,34.6981064,-118.1366153
2950871,26/06/2024,Wisconsin,Milwaukee,5912 W Oklahoma Ave,0,4,43.0386475,-87.9090751
2949852,24/06/2024,Nevada,North Las Vegas,370 Casa Norte Dr,5,1,36.2005843,-115.121584
2948840,24/06/2024,Ohio,Dayton,1530 Home Ave,2,5,39.7589478,-84.1916069
2950074,24/06/2024,Ohio,Dayton,4900 block of Genesee Ave,0,4,39.7589478,-84.1916069
2949287,24/06/2024,Pennsylvania,York,600 block of W Market St,0,4,39.962493,-76.7276989
2947726,23/06/2024,Ohio,Columbus,1100 block of N High St,0,10,39.9622601,-83.0007065
2948227,23/06/2024,California,Vallejo,Spring Rd and Monterey St,1,3,38.1040864,-122.2566367
2948042,23/06/2024,North Carolina,Winston Salem (Winston-salem),2915 Starlight Dr,1,3,36.0942506,-80.2738634
2947750,23/06/2024,New York,Rochester,353 Court St,0,6,43.157285,-77.615214
2947743,23/06/2024,Missouri,Saint Louis,N 11th St and Market St,1,5,38.6280278,-90.1910154
2947774,23/06/2024,Florida,Tampa,11606 McKinley Dr,1,3,27.9477595,-82.458444
2948220,23/06/2024,New Jersey,Trenton,101 Walnut Ave,1,3,40.2203074,-74.7659
2947849,23/06/2024,Alabama,Montgomery,N Pass Rd and Coliseum Blvd,0,9,32.37742,-86.3091683
2947249,22/06/2024,Mississippi,Canton,Hickory St,1,5,32.612602,-90.0367512
2947842,22/06/2024,Virginia,Glen Allen,11690 Old Washington Hwy,0,6,37.664879,-77.48712356574592
2946903,22/06/2024,Kentucky,Louisville,2523 West Broadway,1,7,38.2542376,-85.759407
2945819,21/06/2024,Arkansas,Fordyce,920 W 4th St,4,9,33.8137161,-92.4129303
2947288,21/06/2024,Mississippi,Meridian,500 block of 53rd Ave,1,3,32.3643098,-88.703656
2946833,21/06/2024,District of Columbia,Washington,14th Pl and Savannah St SE,0,4,38.8950368,-77.0365427
2944778,19/06/2024,California,Oakland,400 block of Grand Ave,0,13,37.8044557,-122.271356
2944267,19/06/2024,Pennsylvania,Philadelphia,2800 block of N Bambrey St,0,7,39.9527237,-75.1635262
2943875,18/06/2024,California,Richmond,700 Pennsylvania Ave,2,2,37.9357576,-122.347748
2943300,17/06/2024,Georgia,Macon,3700 block of Napier Ave,1,3,32.8406946,-83.6324022
2941749,17/06/2024,Illinois,Chicago,6000 block of S Winchester Ave,0,7,41.8755616,-87.6244212
2941737,17/06/2024,Illinois,Chicago,900 block of N Pulaski Rd,0,5,41.8755616,-87.6244212
2940961,16/06/2024,Arkansas,Pine Bluff,200 Lake Saracen Dr,1,3,34.2157064,-92.0140402
2941065,16/06/2024,Massachusetts,Methuen,100 Lindberg Ave,0,7,42.7262016,-71.1908924
2941392,16/06/2024,Indiana,South Bend,1623 Lincoln Way W,0,4,41.6833813,-86.2500066
2940418,15/06/2024,Ohio,Cincinnati,6300 Bramble Ave,0,5,39.1014537,-84.5124602
2940302,15/06/2024,Michigan,Rochester (Rochester Hills),1585 E Auburn Rd,0,9,42.6583661,-83.1499322
2940337,15/06/2024,Michigan,Southfield,17587 Margate Ave,0,6,42.4733689,-83.2218731
2940598,15/06/2024,Texas,Round Rock,1371 Harrell Pkwy,2,14,30.5085915,-97.6788056
2940762,15/06/2024,Michigan,Detroit,17800 block of Albion Ave,1,4,42.3315509,-83.0466403
2940313,15/06/2024,Alabama,Tuskegee,207 E Martin Luther King Hwy,1,3,32.4240535,-85.6908715
2939783,14/06/2024,West Virginia,Princeton,347 Meadowfield Ln,0,5,37.366328,-81.1026607
2940564,14/06/2024,Pennsylvania,Philadelphia,3301 W York St,1,4,39.9527237,-75.1635262
2939734,14/06/2024,Florida,Fort Lauderdale,2300 block of NW Eighth St,1,4,26.1223084,-80.1433786
2939289,14/06/2024,Illinois,Chicago,9100 block of S Harper Ave,0,4,41.8755616,-87.6244212
2939657,14/06/2024,Ohio,Columbus,205 N 5th St,2,2,39.9622601,-83.0007065
